Organization,Permit_Adminid,Permit_Name,Facility_Name,Facility.Type,Facility_Status,Locality,mp_hydroid,MP_Name,MP_Type,Intake_Capacity_.MGD.,Source_of_Capacity_Estimate,X1985_Safe_Yield_.MGD.,X2005_Safe_Yield_.MGD.,Exemption_Code,Max_Pre.89_.MGY.,VDH_Total_Pumping_Capacity_.MGD.,X401_Certification_Limit_.MGD.,Max_Pre.89_.MGM.,mp_latitude,mp_longitude,facility_latitude,facility_longitude,X401_certification_comment,rfi_wd_capacity_mgy,final_exempt_propcode,final_exempt_propvalue_mgd
Hidden_for_privacy,68779,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Carroll,63872,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,36.716341,-80.693567,36.716341,-80.693896,NA,0,wsp2020_2020,0
Hidden_for_privacy,69183,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Halifax,63786,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,36.6216,-78.779507,36.6216,-78.779507,NA,0,NA,0
Hidden_for_privacy,69286,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Sussex,64065,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,0.1,0,37.0057915,-77.0159742,NA,0,NA,0
Hidden_for_privacy,69852,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Pittsylvania,63523,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,69852,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Pittsylvania,63582,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,70612,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Loudoun,64320,Hidden_for_privacy,Surface Water Intake,0.288,VWUDS Form,0,0,1,12.386,0,0,3.04,39.0625,-77.375,39.059788,-77.374877,NA,0,intake_capacity_mgd,0.288
Hidden_for_privacy,69260,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Dinwiddie,61476,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,69122,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Pittsylvania,62444,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,8.475,0,0,2.722,37.07916667,-79.30666667,37.07888889,-79.31111111,NA,0,pre_89_mgm,0.087806452
Hidden_for_privacy,71567,Hidden_for_privacy,Hidden_for_privacy,fossilpower,active,Campbell,59328,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.118,-79.27,37.11805556,-79.27,NA,0,vwp_mgy,1.430136986
Hidden_for_privacy,163232,Hidden_for_privacy,Hidden_for_privacy,fossilpower,active,Campbell,59328,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.118,-79.27,37.11805556,-79.27,NA,0,vwp_mgy,1.430136986
Hidden_for_privacy,70030,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Campbell,59184,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,126.967,0.9216,0,11.346,37.10194444,-79.35083333,37.11527778,-79.29222222,NA,0,vdh_pump_capacity_mgd,0.9216
Hidden_for_privacy,70030,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Campbell,65204,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,104.496,0.8064,0,9.672,37.17416667,-79.26444444,37.11527778,-79.29222222,NA,0,vdh_pump_capacity_mgd,0.8064
Hidden_for_privacy,69942,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Campbell,58888,Hidden_for_privacy,Surface Water Intake,2.5,VWUDS Form,0.87,0.87,1,398.671,3.024,0,45.043,37.10444444,-79.2825,37.10472222,-79.28388889,NA,0,vdh_pump_capacity_mgd,3.024
Hidden_for_privacy,69942,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Campbell,62257,Hidden_for_privacy,Surface Water Intake,5,VWUDS Form,0,0,1,522.7,6.048,5,51.5,37.10694444,-79.30194444,37.10472222,-79.28388889,Max 5 mgd.  No withdrawal when flows are below 225 cfs (7Q10Low),0,401_certification,5
Hidden_for_privacy,69165,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Madison,64366,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,69199,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Brunswick,63379,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,69199,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Brunswick,64415,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,400207,Hidden_for_privacy,Hidden_for_privacy,mining,active,Amelia,400210,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.361249,-77.910149,37.361248,-77.910149,NA,0,wsp2020_2020,0
Hidden_for_privacy,0,Hidden_for_privacy,Hidden_for_privacy,agriculture,duplicate,Amherst,457494,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.58151613,-79.0508105,37.58151613,-79.0508105,NA,0,wsp2020_2020,0
Hidden_for_privacy,69679,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232529,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,75.95,5.4,0,37.08,37.48509167,-79.16669167,37.42222222,-79.12083333,NA,0,vwp_mgd,1.426867307
Hidden_for_privacy,69679,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232530,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,495.92,0,0,46.39,37.49003333,-79.16641389,37.42222222,-79.12083333,NA,0,vwp_mgd,1.573132693
Hidden_for_privacy,69679,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232531,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.4768,-79.19573333,37.42222222,-79.12083333,NA,0,wsp2020_2020,0
Hidden_for_privacy,69679,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232623,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.4768,-79.19573333,37.42222222,-79.12083333,NA,0,wsp2020_2020,0
Hidden_for_privacy,163146,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232529,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,75.95,5.4,0,37.08,37.48509167,-79.16669167,37.42222222,-79.12083333,NA,0,vwp_mgd,1.426867307
Hidden_for_privacy,163146,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232530,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,495.92,0,0,46.39,37.49003333,-79.16641389,37.42222222,-79.12083333,NA,0,vwp_mgd,1.573132693
Hidden_for_privacy,163146,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232531,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.4768,-79.19573333,37.42222222,-79.12083333,NA,0,wsp2020_2020,0
Hidden_for_privacy,163146,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232623,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.4768,-79.19573333,37.42222222,-79.12083333,NA,0,wsp2020_2020,0
Hidden_for_privacy,163193,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232529,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,75.95,5.4,0,37.08,37.48509167,-79.16669167,37.42222222,-79.12083333,NA,0,vwp_mgd,1.426867307
Hidden_for_privacy,163193,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232530,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,495.92,0,0,46.39,37.49003333,-79.16641389,37.42222222,-79.12083333,NA,0,vwp_mgd,1.573132693
Hidden_for_privacy,163193,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232531,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.4768,-79.19573333,37.42222222,-79.12083333,NA,0,wsp2020_2020,0
Hidden_for_privacy,163193,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,232623,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.4768,-79.19573333,37.42222222,-79.12083333,NA,0,wsp2020_2020,0
Hidden_for_privacy,0,Hidden_for_privacy,Hidden_for_privacy,agriculture,duplicate,Amherst,457348,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.60482541,-79.14511728,37.60482541,-79.14511728,NA,0,wsp2020_2020,0
Hidden_for_privacy,69547,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,59712,Hidden_for_privacy,Surface Water Intake,1,VWUDS Form,1.3,1.8,0,125.571,2.016,0,12.431,37.60888889,-79.03777778,37.6,-79.03472222,NA,0,vwp_mgy,1
Hidden_for_privacy,163137,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,59712,Hidden_for_privacy,Surface Water Intake,1,VWUDS Form,1.3,1.8,0,125.571,2.016,0,12.431,37.60888889,-79.03777778,37.6,-79.03472222,NA,0,vwp_mgy,1
Hidden_for_privacy,163246,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Amherst,59712,Hidden_for_privacy,Surface Water Intake,1,VWUDS Form,1.3,1.8,0,125.571,2.016,0,12.431,37.60888889,-79.03777778,37.6,-79.03472222,NA,0,vwp_mgy,1
Hidden_for_privacy,70861,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Patrick,61491,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,69764,Hidden_for_privacy,Hidden_for_privacy,mining,active,Goochland,63970,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,2,0,0,0,0,37.69194444,-77.67694444,37.69194444,-77.67694444,NA,0,wsp2020_2020,0.13
Hidden_for_privacy,70148,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Augusta,60331,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,38.12457098,-78.94714171,38.1273214,-78.9489583,NA,0,wsp2020_2020,0
Hidden_for_privacy,69218,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Sussex,59085,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,36.85226111,-77.56743889,36.93144,-77.209005,NA,0,wsp2020_2020,0.021645281
Hidden_for_privacy,69218,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Sussex,59089,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,36.93176,-77.2017,36.93144,-77.209005,NA,0,wsp2020_2020,0.085716452
Hidden_for_privacy,69218,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Sussex,59861,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,36.93176,-77.2017,36.93144,-77.209005,NA,0,wsp2020_2020,0.034939637
Hidden_for_privacy,69189,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Lunenburg,60287,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,0,Hidden_for_privacy,Hidden_for_privacy,municipal,proposed,Watauga,454958,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,36.238828,-81.670086,36.238828,-81.670086,NA,0,NA,0
Hidden_for_privacy,70638,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Wise,64799,Hidden_for_privacy,Surface Water Intake,100,VWUDS Form,0.56,0.56,0,228.411,0,0,21.452,36.90222222,-82.7525,36.90138889,-82.75416667,NA,0,vwp_mgm,0.509589041
Hidden_for_privacy,70638,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Wise,65486,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,36.90194444,-82.75194444,36.90138889,-82.75416667,NA,0,vwp_mgm,0
Hidden_for_privacy,163189,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Wise,64799,Hidden_for_privacy,Surface Water Intake,100,VWUDS Form,0.56,0.56,0,228.411,0,0,21.452,36.90222222,-82.7525,36.90138889,-82.75416667,NA,0,vwp_mgm,0.509589041
Hidden_for_privacy,163189,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Wise,65486,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,36.90194444,-82.75194444,36.90138889,-82.75416667,NA,0,vwp_mgm,0
Hidden_for_privacy,0,Hidden_for_privacy,Hidden_for_privacy,agriculture,duplicate,Appomattox,457495,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.35903084,-78.82654289,37.35903084,-78.82654289,NA,0,wsp2020_2020,0
Hidden_for_privacy,0,Hidden_for_privacy,Hidden_for_privacy,agriculture,duplicate,Appomattox,457337,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.35903084,-78.82654289,37.35903084,-78.82654289,NA,0,wsp2020_2020,0
Hidden_for_privacy,69051,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Stafford,74497,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,38.47226,-77.37762,38.47226,-77.37762,NA,0,wsp2020_2020,0.043013699
Hidden_for_privacy,70382,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Accomack,59600,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.8555,-75.535,37.858236,-75.523946,NA,0,wsp2020_2020,0
Hidden_for_privacy,70382,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Accomack,59947,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.849,-75.513,37.858236,-75.523946,NA,0,wsp2020_2020,0
Hidden_for_privacy,70382,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Accomack,60000,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.8698083,-75.5245963,37.858236,-75.523946,NA,0,wsp2020_2020,0
Hidden_for_privacy,70382,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Accomack,60175,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.8697,-75.5085,37.858236,-75.523946,NA,0,wsp2020_2020,0
Hidden_for_privacy,70382,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Accomack,63389,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.905,-75.497,37.858236,-75.523946,NA,0,wsp2020_2020,0
Hidden_for_privacy,70382,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Accomack,63415,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.8605,-75.512,37.858236,-75.523946,NA,0,wsp2020_2020,0
Hidden_for_privacy,70630,Hidden_for_privacy,Hidden_for_privacy,manufacturing,active,Prince William,61014,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,7.083,0,0,0.992,38.79027778,-77.58472222,38.78888889,-77.58611111,NA,0,pre_89_mgm,0.032
Hidden_for_privacy,71234,Hidden_for_privacy,Hidden_for_privacy,manufacturing,inactive,Campbell,60341,Hidden_for_privacy,Surface Water Intake,1.728,VWUDS Form,0,0,1,441.347,0,0,48.724,37.3975,-79.06222222,37.40166667,-79.05833333,NA,0,intake_capacity_mgd,1.728
Hidden_for_privacy,70842,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Arlington,59937,Hidden_for_privacy,Surface Water Intake,1.2,VWUDS Form,0,0,1,19.95,0,0,5.92,38.85472222,-77.07416667,38.89333333,-77.07805556,NA,0,intake_capacity_mgd,1.2
Hidden_for_privacy,68926,Hidden_for_privacy,Hidden_for_privacy,mining,inactive,Buckingham,60475,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,221.7,0,0,19.1,37.71194444,-78.32694444,37.71194444,-78.32694444,NA,0,pre_89_mgm,0.616129032
Hidden_for_privacy,69651,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Hanover,59083,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.85277778,-77.53972222,37.855455,-77.532367,NA,0,wsp2020_2020,0.004366318
Hidden_for_privacy,69651,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Hanover,60400,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,4,0,0,0,0,37.852519,-77.540213,37.855455,-77.532367,NA,0,wsp2020_2020,0
Hidden_for_privacy,69651,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Hanover,60910,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.84805556,-77.54722222,37.855455,-77.532367,NA,0,wsp2020_2020,0.114969883
Hidden_for_privacy,69287,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Rockbridge,63470,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,wsp2020_2020,0
Hidden_for_privacy,71539,Hidden_for_privacy,Hidden_for_privacy,manufacturing,active,Caroline,60514,Hidden_for_privacy,Surface Water Intake,8,VWUDS Form,0,0,1,91.879,0,0,30.668,37.8336956,-77.42739537,37.81905852,-77.43365115,NA,0,intake_capacity_mgd,8
Hidden_for_privacy,71539,Hidden_for_privacy,Hidden_for_privacy,manufacturing,active,Caroline,64674,Hidden_for_privacy,Surface Water Intake,3.5,VWUDS Form,0,0,1,442.973,0,0,62.01,37.83579643,-77.42188646,37.81905852,-77.43365115,NA,0,intake_capacity_mgd,3.5
Hidden_for_privacy,90380,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Botetourt,90470,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.437139,-79.902736,37.436151,-79.893157,NA,0,wsp2020_2020,0
Hidden_for_privacy,90380,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Botetourt,90472,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.425978,-79.903886,37.436151,-79.893157,NA,0,wsp2020_2020,0
Hidden_for_privacy,69329,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Page,59155,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,38.640258,-78.465217,38.643124,-78.458075,NA,0,wsp2020_2020,0
Hidden_for_privacy,69329,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Page,65345,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,38.64439944,-78.45118355,38.643124,-78.458075,NA,0,wsp2020_2020,0
Hidden_for_privacy,68820,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Accomack,60297,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,0.1,0,-99,-99,NA,0,wsp2020_2020,0
Hidden_for_privacy,69194,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Page,62124,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,38.64439944,-78.45118355,38.638053,-78.455327,NA,0,NA,0
Hidden_for_privacy,70073,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Pittsylvania,63472,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,70073,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Pittsylvania,63557,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,90407,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Montgomery,163290,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.078422,-80.440664,99,-99,NA,0,wsp2020_2020,0
Hidden_for_privacy,70418,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Augusta,58916,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,1.14,0,0,0.217,38.18,-78.85,38.171455,-78.851559,NA,0,pre_89_mgm,0.007
Hidden_for_privacy,70418,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Augusta,61553,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,0,0,0,0,0.1,0,38.171455,-78.851559,NA,0,wsp2020_2020,0
Hidden_for_privacy,70550,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Augusta,62101,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,8.529,0,0,1.705,38.10205237,-79.31982374,38.10201141,-79.31983132,NA,0,pre_89_mgm,0.055
Hidden_for_privacy,192139,Hidden_for_privacy,Hidden_for_privacy,commercial,active,Stafford,163289,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,38.444518,-77.47041,99,-99,NA,0,wsp2020_2020,0.13
Hidden_for_privacy,69295,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Wythe,65035,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,7.31,8.064,0,0.841,36.8525,-80.92555556,36.8525,-80.92555556,NA,0,vwp_mgy,10
Hidden_for_privacy,163138,Hidden_for_privacy,Hidden_for_privacy,municipal,active,Wythe,65035,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,7.31,8.064,0,0.841,36.8525,-80.92555556,36.8525,-80.92555556,NA,0,vwp_mgy,10
Hidden_for_privacy,69104,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Shenandoah,62085,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,1,27.149,0,0,20.362,38.75444444,-78.61694444,38.757425,-78.619017,NA,0,pre_89_mgm,0.65683871
Hidden_for_privacy,70536,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Fairfax County,62512,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,wsp2020_2020,0
Hidden_for_privacy,69770,Hidden_for_privacy,Hidden_for_privacy,irrigation,active,Surry,61597,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,37.11861111,-76.71638889,37.108846,-76.72238,NA,0,wsp2020_2020,0.09
Hidden_for_privacy,70667,Hidden_for_privacy,Hidden_for_privacy,commercial,inactive,Surry,59954,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,5,141,0,0,71,37.03055556,-76.83472222,37.03055556,-76.83472222,NA,0,pre_89_mgm,2.290322581
Hidden_for_privacy,71511,Hidden_for_privacy,Hidden_for_privacy,mining,abandoned,Prince Edward,63730,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,66.006,0,0,7.161,37.21305556,-78.6275,37.21305556,-78.6275,NA,0,pre_89_mgm,0.231
Hidden_for_privacy,70123,Hidden_for_privacy,Hidden_for_privacy,irrigation,inactive,Madison,63984,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,0.1,0,-99,-99,NA,0,NA,0
Hidden_for_privacy,71273,Hidden_for_privacy,Hidden_for_privacy,commercial,inactive,Mecklenburg,63652,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,0,0,0,0,36.71888889,-78.29444444,36.71944444,-78.3,NA,0,NA,0
Hidden_for_privacy,71119,Hidden_for_privacy,Hidden_for_privacy,manufacturing,inactive,Henry,61347,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,89.225,0,0,23.281,36.765,-79.99638889,36.76388889,-79.99861111,NA,0,pre_89_mgm,0.751
Hidden_for_privacy,68710,Hidden_for_privacy,Hidden_for_privacy,manufacturing,active,Henry,58847,Hidden_for_privacy,Surface Water Intake,0.096,VWUDS Form,0,0,1,26.319,0,0,12.9,36.75916667,-79.99333333,36.76805556,-80.00277778,NA,0,pre_89_mgm,0.416129032
Hidden_for_privacy,68710,Hidden_for_privacy,Hidden_for_privacy,manufacturing,active,Henry,61339,Hidden_for_privacy,Surface Water Intake,0,NA,0,0,0,18.411,0,0,1.674,36.76833333,-80.005,36.76805556,-80.00277778,NA,0,pre_89_mgm,0.054
